시도,시군구,종별,기관명,주소,전화번호,야간여부
서울,구로구,병원,연세사랑모아여성병원,서울특별시 구로구 중앙로 100 (고척동),02-2636-1122,야간
서울,구로구,의원,민전산부인과의원,"서울특별시 구로구 경인로 322 1,2,4,5층 (개봉동)",02-2685-3388,야간
서울,도봉구,병원,에이치큐브병원,서울특별시 도봉구 도봉로 604 (창동),02-900-2000,야간
서울,동대문구,종합병원,삼육서울병원,서울특별시 동대문구 망우로 82 (휘경동),02-2244-0191,야간
서울,동대문구,상급종합병원,경희대학교병원,서울특별시 동대문구 경희대로 23 (회기동),02-958-8114,야간
서울,동대문구,병원,린여성병원,서울특별시 동대문구 답십리로 266 파워스빌딩 (장안동),02-2244-1212,야간
서울,동작구,상급종합병원,중앙대학교병원,서울특별시 동작구 흑석로 102 (흑석동),1800-1114,야간
서울,동작구,종합병원,서울특별시보라매병원,서울특별시 동작구 보라매로5길 20 (신대방동),02-870-2114,야간
서울,동작구,병원,청화병원,서울특별시 동작구 장승배기로 108 (노량진동),02-815-3788,야간
서울,마포구,의원,진오비산부인과의원,"서울특별시 마포구 신촌로 12 동우빌딩 3,4층 (동교동)",02-3143-3595,야간
서울,마포구,의원,신촌연세퀸산부인과의원,"서울특별시 마포구 서강로 106 5,6,7층 (신수동)",02-718-0055,야간
서울,마포구,의원,포근담산부인과의원,서울특별시 마포구 월드컵로 88 서교월드빌딩 2층 (서교동),02-324-9966,야간
서울,서대문구,상급종합병원,연세대학교의과대학세브란스병원,서울특별시 서대문구 연세로 50-1 (신촌동),02-2228-0114,야간
서울,성동구,상급종합병원,한양대학교병원,서울특별시 성동구 왕십리로 222-1 (사근동),02-2290-8114,야간
서울,성북구,상급종합병원,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),서울특별시 성북구 고려대로 73 고려대병원 (안암동5가),1577-0083,야간
서울,성북구,의원,우리기쁜산부인과의원,서울특별시 성북구 종암로 147 지상1~8층 (종암동),02-2039-1000,야간
서울,영등포구,종합병원,가톨릭대학교 여의도성모병원,서울특별시 영등포구 63로 10 여의도성모병원 (여의도동),1661-7575,
서울,영등포구,종합병원,한림대학교 강남성심병원,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",02-829-5114,야간
서울,영등포구,종합병원,성애의료재단 성애병원,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",02-840-7114,야간
서울,영등포구,의원,아란태산부인과의원,"서울특별시 영등포구 선유로 64 2-5,7층 (문래동3가)",02-2630-6600,야간
서울,용산구,종합병원,순천향대학교 부속 서울병원,서울특별시 용산구 대사관로 59 (한남동),02-709-9114,야간
서울,은평구,종합병원,가톨릭대학교 은평성모병원,서울특별시 은평구 통일로 1021 (진관동),02-1811-7755,야간
서울,은평구,병원,인정병원,서울특별시 은평구 응암로 164 (응암동),02-309-0909,야간
서울,은평구,의원,은혜산부인과의원,"서울특별시 은평구 진흥로 133 D동 B2,B1,2~4층 (대조동)",02-353-4307,야간
서울,은평구,의원,아이제일산부인과의원,서울특별시 은평구 서오릉로 81 (역촌동),02-355-8113,야간
서울,종로구,상급종합병원,서울대학교병원,서울특별시 종로구 대학로 101 (연건동),1588-5700,야간
서울,종로구,상급종합병원,강북삼성병원,서울특별시 종로구 새문안로 29 (평동),02-2001-2001,야간
서울,중구,종합병원,국립중앙의료원,서울특별시 중구 을지로 245 국립중앙의료원 (을지로6가),02-2260-7114,야간
서울,송파구,상급종합병원,재단법인아산사회복지재단 서울아산병원,서울특별시 송파구 올림픽로43길 88 서울아산병원 (풍납동),02-3010-3114,야간
서울,송파구,의원,포유문산부인과의원,서울특별시 송파구 양재대로60길 3-13 가락동 문산부인과 (가락동),02-443-1600,야간
서울,송파구,의원,고은빛산부인과의원,"서울특별시 송파구 오금로 95 국제빌딩 지하1층, 2~8층 (방이동)",02-421-3030,야간
서울,중랑구,종합병원,서울특별시서울의료원,서울특별시 중랑구 신내로 156 (신내동),02-2276-7000,야간
서울,중랑구,의원,메디렌느산부인과의원,서울특별시 중랑구 망우로 233 메디렌느산부인과 (중화동),02-493-7987,야간
서울,중랑구,병원,장스여성병원,서울특별시 중랑구 용마산로117길 49 장스여성병원 비동 (7층 일부제외)동 (망우동),02-490-4000,야간
서울,양천구,상급종합병원,이화여자대학교의과대학부속목동병원,서울특별시 양천구 안양천로 1071 (목동),02-2650-5114,야간
서울,양천구,병원,포미즈여성병원,"서울특별시 양천구 공항대로 610 (목동, 정종일산부인과)",02-2651-7500,야간
서울,양천구,병원,목동제일여성병원,서울특별시 양천구 중앙로 300 (신정동),02-6927-3646,야간
서울,양천구,의원,밝은미래산부인과의원,"서울특별시 양천구 남부순환로 654 4,5,6,9층 (신정동, 에이치앤씨티타워)",02-2687-3555,야간
서울,서초구,상급종합병원,학교법인가톨릭학원가톨릭대학교서울성모병원,서울특별시 서초구 반포대로 222 (반포동),02-1588-1511,야간
서울,서초구,의원,호움산부인과의원,"서울특별시 서초구 서초중앙로 110 2층 (서초동, 서초동롯데캐슬메디치)",02-548-9400,야간
서울,서초구,의원,아이투비산부인과의원,"서울특별시 서초구 방배로 234 지1층,2~5층 (방배동, 우신빌딩)",02-532-6400,야간
서울,노원구,종합병원,인제대학교 상계백병원,서울특별시 노원구 동일로 1342 상계백병원 (상계동),02-950-1114,
서울,노원구,종합병원,노원을지대학교병원,서울특별시 노원구 한글비석로 68 을지병원 (하계동),02-970-8000,야간
서울,노원구,의원,퀸스메디산부인과의원,서울특별시 노원구 동일로 1059 (공릉동),02-948-7588,야간
서울,광진구,상급종합병원,건국대학교병원,서울특별시 광진구 능동로 120-1 (화양동),1588-1533,야간
서울,광진구,의원,SC제일산부인과의원,서울특별시 광진구 광나루로 506 (구의동),02-447-3111,야간
서울,광진구,의원,루트여성의원,"서울특별시 광진구 능동로 261 지하1층, 2~6층 (군자동)",02-6958-5755,야간
서울,강북구,병원,햇빛병원,서울특별시 강북구 도봉로 74 (미아동),02-983-7771,야간
서울,금천구,의원,엠제이산부인과의원,"서울특별시 금천구 두산로 81 지하1층,2~8층 (독산동)",02-2109-3000,야간
서울,동대문구,조산원,일신조산원,서울특별시 동대문구 답십리로58길,02-2244-2841,
서울,용산구,조산원,마마스조산원,서울특별시 용산구 대사관로,02-797-3573,
서울,중구,조산원,둥지조산원,서울특별시 중구 서소문로,02-303-5315,
부산,부산남구,종합병원,부산성모병원(재단법인 천주교부산교구유지재단),부산광역시 남구 용호로232번길 25-14 (용호동),051-933-7114,
부산,부산동구,종합병원,재단법인일신기독교선교회 일신기독병원,부산광역시 동구 정공단로 27 (좌천동),051-630-0300,야간
부산,부산동구,종합병원,좋은문화병원,부산광역시 동구 범일로 119 (범일동),051-644-2002,야간
부산,부산동래구,병원,좋은날에 드라마여성병원,"부산광역시 동래구 충렬대로 449 (안락동, 좋은날에드라마여성병원)",051-522-7575,야간
부산,부산진구,상급종합병원,인제대학교부산백병원,"부산광역시 부산진구 복지로 75, 진사로83번길 75 진사로83번길 81, 1층(일부), 3층 (개금동)",051-890-6114,야간
부산,부산진구,병원,미래여성병원,부산광역시 부산진구 가야대로 459 지하2~지상10층 (개금동),051-890-9999,야간
부산,부산진구,의원,아이사랑산부인과의원,"부산광역시 부산진구 가야대로 470 아이사랑산부인과 1층일부,2~8층 (개금동)",051-890-7000,야간
부산,부산북구,병원,미래로병원,부산광역시 북구 금곡대로 15 (덕천동),051-330-5000,야간
부산,부산북구,의원,더미즈웰산부인과의원,부산광역시 북구 금곡대로 284 (화명동),051-365-3575,야간
부산,부산서구,상급종합병원,부산대학교병원,부산광역시 서구 구덕로 179 (아미동1가),051-240-7000,야간
부산,부산서구,상급종합병원,고신대학교복음병원,부산광역시 서구 감천로 262 (암남동),051-990-6114,
부산,부산서구,상급종합병원,동아대학교병원,부산광역시 서구 대신공원로 26 (동대신동3가),051-240-2400,야간
부산,부산서구,의원,구세산부인과의원,부산광역시 서구 구덕로 114 (충무동1가),051-253-5555,야간
부산,부산영도구,의원,신근식산부인과의원,부산광역시 영도구 태종로 319-1 (청학동),051-412-0339,
부산,부산해운대구,종합병원,인제대학교 해운대백병원,부산광역시 해운대구 해운대로 875 (좌동),051-797-0100,야간
부산,부산해운대구,병원,제일여성병원,부산광역시 해운대구 좌동로 66 (중동),051-743-7431,야간
부산,부산해운대구,병원,퀸즈파크여성병원,부산광역시 해운대구 해운대로 794 10~11층 (좌동),051-715-4100,야간
부산,부산사하구,병원,에디스여성병원,부산광역시 사하구 낙동대로 361 (당리동),051-206-0999,야간
부산,부산금정구,병원,순병원,부산광역시 금정구 중앙대로 1701 (부곡동),051-515-0005,야간
부산,부산강서구,병원,웰하이여성아동병원,"부산광역시 강서구 명지오션시티4로 95 2~8, 10층 일부호 (명지동)",051-201-8854,야간
부산,부산연제구,병원,연제일신병원,부산광역시 연제구 고분로 6 (연산동),051-862-2002,야간
부산,부산연제구,병원,위대한탄생여성병원,"부산광역시 연제구 중앙대로 1083 (연산동, 3~7층, 12층)",051-862-0010,야간
부산,부산수영구,병원,광안자모병원,부산광역시 수영구 수영로 555 (광안동),051-760-0600,야간
부산,부산기장군,의원,아이앤젤여성의원,"부산광역시 기장군 정관읍 정관로 601 3,4층 (대신빌딩)",051-722-3579,야간
인천,인천미추홀구,병원,고은여성병원,인천광역시 미추홀구 독배로 463 (숭의동),032-870-5000,야간
인천,인천미추홀구,병원,의료법인 아인의료재단 아인병원,"인천광역시 미추홀구 경인로 372 201동 지하1,지상3~12층 ,13층일부호 (주안동, 포레나 미추홀)",032-247-2000,야간
인천,인천미추홀구,병원,W(더블유)여성병원,"인천광역시 미추홀구 인주대로 400 제일여성병원 2층 일부, 3-5층, 8층 (주안동)",032-451-0000,야간
인천,인천미추홀구,의원,아이소망산부인과의원,"인천광역시 미추홀구 미추로 56 지하1, 1, 2층 (숭의동, 아이소망여성병원)",032-883-3643,야간
인천,인천부평구,상급종합병원,가톨릭대학교인천성모병원,인천광역시 부평구 동수로 56 (부평동),032-1544-9004,야간
인천,인천부평구,병원,새봄여성병원,인천광역시 부평구 마장로 316 (산곡동),032-521-7200,야간
인천,인천부평구,의원,성모산부인과의원,인천광역시 부평구 부평대로 47 (부평동),032-502-1001,야간
인천,인천중구,상급종합병원,인하대학교의과대학부속병원,인천광역시 중구 인항로 27-0 인하대학병원,032-890-2114,야간
인천,인천중구,의원,하늘도시산부인과의원,"인천광역시 중구 하늘달빛로 94 스타타워 5층 509,510,511호 (중산동)",032-746-1236,야간
인천,인천서구,종합병원,의료법인루가의료재단 나은병원,인천광역시 서구 원적로 23 23,032-584-0114,
인천,인천서구,종합병원,가톨릭관동대학교 국제성모병원,인천광역시 서구 심곡로100번길 25-0 인천국제성모병원,032-1600-8291,
인천,인천서구,병원,청라여성병원,"인천광역시 서구 중봉대로 602 2~5층,6층일부,9층 (청라동)",032-716-6000,야간
인천,인천서구,의원,마리아산부인과의원,인천광역시 서구 가정로 358 (가정동),032-575-8870,
인천,인천서구,의원,그린산부인과의원,인천광역시 서구 건지로 371 (가좌동),032-574-3535,야간
인천,인천서구,의원,금산부인과의원,인천광역시 서구 승학로 528 (검암동),032-569-0880,야간
인천,인천서구,의원,더나아산부인과의원,"인천광역시 서구 검단로 480 검단리치웰프라자 504호일부, 505~509호 (왕길동)",032-567-5732,
인천,인천남동구,상급종합병원,의료법인 길의료재단 길병원,인천광역시 남동구 남동대로774번길 21-0 의료법인길의료재단길병원,1577-2299,야간
인천,인천남동구,의원,리앤아이산부인과의원,"인천광역시 남동구 논고개로 71 301~303호,401~403호,503호일부호 (논현동, 가산타워 )",032-270-7777,야간
인천,인천남동구,의원,마이비산부인과의원,"인천광역시 남동구 논고개로123번길 17 701~705,712일부호 (논현동, 아이플렉스)",032-424-7007,야간
인천,인천연수구,의원,우리산부인과의원,인천광역시 연수구 앵고개로 254 (동춘동),032-818-5121,야간
인천,인천연수구,의원,미래제일산부인과의원,"인천광역시 연수구 먼우금로 189 501호 (청학동, 소망빌딩)",032-245-0101,야간
인천,인천연수구,의원,곽생로 여성의원,인천광역시 연수구 테크노파크로111번길 4 드 메티스 빌딩 1층 일부호 2~5층 (송도동),032-858-7117,야간
인천,인천부평구,조산원,엠제이조산원,인천광역시 부평구 주부토로,032-544-1732,
대구,대구남구,상급종합병원,대구가톨릭대학교병원,대구광역시 남구 두류공원로17길 33 (대명동),053-650-3000,야간
대구,대구남구,상급종합병원,영남대학교병원,대구광역시 남구 현충로 170 (대명동),053-623-8001,야간
대구,대구동구,종합병원,대구파티마병원,대구광역시 동구 아양로 99 (신암동),053-1688-7770,야간
대구,대구북구,상급종합병원,칠곡경북대학교병원,대구광역시 북구 호국로 807 칠곡경북대학교병원(임상실습동 1~11층 포함) (학정동),053-200-2000,야간
대구,대구북구,병원,신세계병원,대구광역시 북구 동북로 196 (산격동),053-954-7771,야간
대구,대구북구,병원,로즈마리병원,대구광역시 북구 팔거천동로 215 (동천동),053-210-7777,야간
대구,대구서구,종합병원,대구의료원,대구광역시 서구 평리로 157 (중리동),053-560-7575,
대구,대구서구,의원,디케어센터의원,"대구광역시 서구 와룡로 307 2층 208~221,224~225호 (중리동)",053-288-3000,
대구,대구서구,의원,아세아연합의원,"대구광역시 서구 서대구로 49 지하1층,2층~3층 (내당동)",053-562-0100,
대구,대구수성구,병원,여성메디파크병원,대구광역시 수성구 동대구로 271 (범어동),053-740-7700,
대구,대구수성구,병원,의료법인경동의료재단효성병원,대구광역시 수성구 수성로 194 효성병원(본관) (중동),053-766-7070,야간
대구,대구수성구,병원,W여성병원,대구광역시 수성구 화랑로 58 (만촌동),053-757-2000,야간
대구,대구수성구,병원,파티마여성병원,대구광역시 수성구 달구벌대로 3119 (시지동),053-794-9400,야간
대구,대구중구,상급종합병원,경북대학교병원,"대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)",053-200-5114,야간
대구,대구달서구,상급종합병원,계명대학교동산병원,대구광역시 달서구 달구벌대로 1035 (신당동),1577-6622,야간
대구,대구달서구,병원,미래여성병원,대구광역시 달서구 와룡로 207 (죽전동),053-608-7000,야간
대구,대구달서구,병원,여성아이병원,대구광역시 달서구 월배로 141 (진천동),053-1877-6622,야간
대구,대구달성군,병원,행복한 병원,"대구광역시 달성군 유가읍 테크노순환로12길 4 1층,4~6층(1층 사우나홀,113~117호,119~120호,405~407호,5층,601~607호",053-210-8000,야간
대구,대구달성군,의원,로즈맘산부인과의원,대구광역시 달성군 다사읍 달구벌대로 874 ,053-593-3575,야간
대전,대전유성구,종합병원,의료법인영훈의료재단 유성선병원,"대전광역시 유성구 북유성대로 93-0  0동 0호 (지족동,유선성병원)",042-609-1000,
대전,대전유성구,병원,미즈제일여성병원,대전광역시 유성구 계룡로 126-0  1~6층 (봉명동),042-821-0000,야간
대전,대전서구,종합병원,학교법인 을지학원 대전을지대학교병원,대전광역시 서구 둔산서로 95 (둔산동),042-611-3000,야간
대전,대전서구,상급종합병원,학교법인 건양교육재단 건양대학교병원,대전광역시 서구 관저동로 158 (관저동),042-600-9999,야간
대전,대전서구,병원,미즈여성병원,대전광역시 서구 문정로2번길 95  (탄방동),042-483-3575,야간
대전,대전서구,병원,더블유여성병원,대전광역시 서구 문정로48번길 70 (탄방동),042-485-7777,야간
대전,대전서구,병원,서울여성병원,대전광역시 서구 문정로 7 (둔산동),042-488-8275,야간
대전,대전서구,의원,예담산부인과의원,"대전광역시 서구 도안대로 25 2, 3층 (관저동)",042-546-9300,야간
대전,대전서구,의원,모태산부인과의원,"대전광역시 서구 대덕대로 191 1~3층, 5층 (둔산동)",042-472-0080,야간
대전,대전동구,종합병원,대전한국병원,대전광역시 동구 동서대로 1672  (성남동),042-606-1000,
대전,대전동구,의원,가오플러스산부인과의원,"대전광역시 동구 은어송로 63 5층,6층,7층,8층 (가오동)",042-286-9500,야간
대전,대전동구,의원,라온산부인과의원,대전광역시 동구 동서대로 1677 (용전동),042-273-3575,야간
대전,대전중구,상급종합병원,충남대학교병원,대전광역시 중구 문화로 282-  (대사동),042-1599-7123,야간
대전,대전중구,종합병원,학교법인 가톨릭학원 가톨릭대학교 대전성모병원,대전광역시 중구 대흥로 64 (대흥동),042-220-9114,야간
대전,대전중구,종합병원,의료법인 영훈의료재단 대전선병원,대전광역시 중구 목중로 29 (목동),042-220-8114,
울산,울산남구,병원,(의)인석의료재단 보람병원,울산광역시 남구 돋질로336번길 10 (삼산동),052-278-0114,야간
울산,울산남구,병원,울산미즈병원,울산광역시 남구 남산로 2 (무거동),052-220-0100,야간
울산,울산남구,병원,위드여성병원,울산광역시 남구 남중로 123 (삼산동),052-915-8000,야간
울산,울산동구,상급종합병원,학교법인 울산공업학원 울산대학교병원,울산광역시 동구 대학병원로 25 울산대학교병원 (전하동),052-250-7000,야간
울산,울산동구,의원,로즈메디산부인과의원,울산광역시 동구 방어진순환도로 747 (전하동),052-234-3575,야간
울산,울산중구,병원,맘스여성병원,울산광역시 중구 남외2길 36 (남외동),052-290-6000,야간
경기,광명시,종합병원,중앙대학교광명병원,경기도 광명시 덕안로 110 (일직동),1811-7800,야간
경기,광명시,의원,미래여성산부인과의원,"경기도 광명시 범안로 1062 천일빌딩 1~4층, 6층 (하안동)",02-806-1001,야간
경기,광명시,의원,이즈맘산부인과의원,경기도 광명시 오리로 889 2층-6층 (철산동),02-2066-3588,야간
경기,광명시,의원,지엠제일산부인과의원,경기도 광명시 광명로 896 7~10층 (광명동),02-6941-0021,야간
경기,부천원미구,종합병원,가톨릭대학교부천성모병원,경기도 부천시 원미구 소사로 327 가톨릭대학교 부천성모병원 (소사동),032-1577-0675,야간
경기,부천원미구,상급종합병원,순천향대학교부속부천병원,경기도 부천시 원미구 조마루로 170 부흥로 173(1층일부) (중동),032-621-5114,야간
경기,부천원미구,병원,초앤유여성병원,경기도 부천시 원미구 중동로248번길 19 (중동),032-326-0095,야간
경기,부천원미구,병원,서울여성병원,"경기도 부천시 원미구 길주로 84 1~7층,8층 일부, 서울여성병원 / 길주로 74 3층 일부 (건강검진센터)  (상동)",032-230-3000,야간
경기,부천원미구,의원,삼성미래산부인과의원,"경기도 부천시 원미구 부흥로 270 1~6층, 부흥로 268, 1~3층, 5~6층 (중동)",032-662-6100,야간
경기,성남수정구,병원,더미즈병원,경기도 성남시 수정구 수정로 91 더미즈병원 (태평동),031-752-1119,야간
경기,성남수정구,의원,금빛여성의원,"경기도 성남시 수정구 수정로171번길 7-1 우일프라자 2층일부, 3~6층, 8층, 9층일부 (태평동)",031-757-8500,야간
경기,성남분당구,종합병원,차의과학대학교분당차병원,경기도 성남시 분당구 야탑로 59 (야탑동),031-780-5000,야간
경기,성남분당구,종합병원,대진의료재단 분당제생병원,경기도 성남시 분당구 서현로180번길 20 (서현동),031-779-0114,야간
경기,성남분당구,상급종합병원,분당서울대학교병원,"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원)",031-787-2114,야간
경기,성남분당구,병원,분당제일여성병원,"경기도 성남시 분당구 서현로180번길 27 1~6층 (서현동, 분당제일여성병원)",031-725-8500,야간
경기,수원권선구,병원,수여성병원,경기도 수원시 권선구 서부로 1592 (고색동),031-8012-7000,
경기,수원권선구,병원,에덴메디여성병원,경기도 수원시 권선구 동수원로 220 (권선동),031-236-2000,야간
경기,수원권선구,병원,세인트마리여성병원,"경기도 수원시 권선구 금곡로197번길 70 1~5, 9층 (금곡동)",031-289-3000,야간
경기,수원권선구,종합병원,의료법인 덕산의료재단 수원덕산병원,경기도 수원시 권선구 서부로 1674 (고색동),031-686-2000,야간
경기,수원장안구,의원,베스트산부인과의원,경기도 수원시 장안구 만석로5번길 12-10 (천천동),031-269-8833,야간
경기,수원장안구,의원,우먼플러스산부인과의원,경기도 수원시 장안구 경수대로 892 (조원동),031-248-8100,야간
경기,수원팔달구,상급종합병원,가톨릭대학교 성빈센트병원,경기도 수원시 팔달구 중부대로 93 (지동),031-1577-8588,야간
경기,수원팔달구,종합병원,의료법인 녹산의료재단동수원병원,경기도 수원시 팔달구 중부대로 165 (우만동),031-210-0114,
경기,수원팔달구,병원,쉬즈메디병원,경기도 수원시 팔달구 장다리로 288 (인계동),031-231-7300,야간
경기,수원팔달구,의원,수원제일산부인과의원,경기도 수원시 팔달구 덕영대로 691-12 1~6층 (화서동),031-253-3011,야간
경기,수원영통구,상급종합병원,아주대학교병원,경기도 수원시 영통구 월드컵로 164 (원천동),031-219-5114,야간
경기,수원영통구,병원,시온여성병원,경기도 수원시 영통구 반달로 107 (영통동),031-201-0700,야간
경기,수원영통구,병원,리베르여성병원,"경기도 수원시 영통구 삼성로 34 지하1,지상2~4층 (신동)",031-203-2300,야간
경기,안양만안구,종합병원,효산의료재단 안양샘병원,"경기도 안양시 만안구 삼덕로 9 (안양동, 안양샘병원)",031-467-9114,
경기,안양동안구,상급종합병원,한림대학교성심병원,경기도 안양시 동안구 관평로170번길 22 (평촌동),031-380-1500,
경기,안양동안구,병원,봄빛병원,경기도 안양시 동안구 평촌대로211번길 26 (호계동),031-380-7300,야간
경기,의정부시,종합병원,가톨릭대학교의정부성모병원,경기도 의정부시 천보로 271 의정부성모병원 (금오동),1661-7500,야간
경기,의정부시,종합병원,학교법인 을지학원 의정부을지대학교병원,경기도 의정부시 동일로 712 을지대학교 의정부캠퍼스 및 부속병원 (금오동),031-951-1000,야간
경기,의정부시,병원,신여성병원,경기도 의정부시 시민로 50 (의정부동),031-879-3800,야간
경기,의정부시,병원,우먼피아여성병원,경기도 의정부시 청사로5번길 16 (신곡동),031-853-7500,야간
경기,구리시,종합병원,한양대학교구리병원,경기도 구리시 경춘로 153 (교문동),1644-9118,야간
경기,구리시,의원,마리본산부인과의원,경기도 구리시 건원대로 39-1 마리본산부인과(3층제외) (인창동),031-551-2700,야간
경기,안산단원구,상급종합병원,고려대학교의과대학부속안산병원,경기도 안산시 단원구 적금로 123 (고잔동),031-1577-7516,야간
경기,안산단원구,병원,세창의료재단우성여성병원,경기도 안산시 단원구 고잔로 58-10 (고잔동),031-412-3000,야간
경기,안산단원구,병원,한빛여성병원,경기도 안산시 단원구 광덕동로 53 (고잔동),031-410-3316,야간
경기,안산단원구,의원,메이퀸이지은산부인과의원,"경기도 안산시 단원구 선부광장1로 10 동양빌딩 501,502,503호 (선부동)",031-401-7777,야간
경기,안산단원구,의원,열린산부인과의원,"경기도 안산시 단원구 선부광장1로 22 3층,4층 (선부동, 한우리크리닉센타)",031-405-3572,야간
경기,안산단원구,의원,조은맘산부인과의원,"경기도 안산시 단원구 초지로 90 5층 (초지동, 태영프라자)",031-439-8888,야간
경기,안산상록구,의원,미즈피아산부인과의원,경기도 안산시 상록구 샘골로 112 (본오동),031-407-0077,야간
경기,평택시,의원,지엔산부인과의원,경기도 평택시 비전5로 3 (비전동),,야간
경기,평택시,의원,안중산부인과의원,경기도 평택시 안중읍 안중로131번길 14-15 ,031-683-7366,
경기,평택시,의원,라움산부인과의원,"경기도 평택시 평택5로34번길 6-1 104호, 2~4층 (합정동)",1670-9792,야간
경기,평택시,의원,더네이처산부인과의원,"경기도 평택시 송탄로 260 4,5,6,7,11층 (서정동)",031-668-3579,야간
경기,평택시,의원,예일산부인과의원,경기도 평택시 중앙로 146-1 (합정동),031-656-3885,야간
경기,하남시,의원,연세아란산부인과의원,경기도 하남시 미사강변대로54번길 121 연세아란빌딩 2~5층 (풍산동),031-793-7000,야간
경기,하남시,의원,미사린산부인과의원,"경기도 하남시 미사강변대로34번길 66 플레이스이안 3, 4층 (풍산동)",031-794-1212,야간
경기,군포시,종합병원,효산의료재단 지샘병원,"경기도 군포시 군포로 591 (당동, (G샘병원)군포샘병원)",031-389-3000,
경기,군포시,병원,산본제일병원,경기도 군포시 산본로 374 (산본동),031-396-3301,야간
경기,남양주시,의원,메디피아산부인과의원,경기도 남양주시 경춘로 1511 (호평동),031-595-8400,
경기,남양주시,의원,별내마리산부인과의원,경기도 남양주시 별내3로 320 센트럴프라자 2~6층 (별내동),031-564-7373,야간
경기,남양주시,의원,조은산부인과의원,"경기도 남양주시 경춘로1256번길 6 다모아프라자 401,402,404,701,702,703호 (평내동)",031-511-3963,야간
경기,남양주시,의원,드림아이산부인과의원,경기도 남양주시 진접읍 해밀예당1로 79 1-5층,031-523-3333,야간
경기,남양주시,의원,삼성프라임산부인과의원,경기도 남양주시 다산중앙로146번길 12-12 2~8층 (다산동),031-568-1110,야간
경기,시흥시,의원,예진산부인과의원,"경기도 시흥시 정왕대로 78 (정왕동, B동 306호, 407호, 408호)",031-431-1134,야간
경기,오산시,의원,우먼필산부인과의원,경기도 오산시 대원로 34 (원동),031-378-5950,야간
경기,고양일산서구,종합병원,인제대학교일산백병원,경기도 고양시 일산서구 주화로 170 (대화동),031-910-7114,야간
경기,고양일산서구,의원,아이산산부인과의원,"경기도 고양시 일산서구 덕이로 10 (덕이동, 지하1층 일부,1층, 2층일부, 3층)",031-916-9400,야간
